index,char,name
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,a,a
11,ă,a_up
12,â,a_hat
13,b,b
14,c,c
15,d,d
16,e,e
17,f,f
18,g,g
19,h,h
20,i,i
21,î,i_hat
22,j,j
23,k,k
24,l,l
25,m,m
26,n,n
27,o,o
28,p,p
29,q,q
30,r,r
31,s,s
32,ș,s_comma
33,t,t
34,ț,t_comma
35,u,u
36,v,v
37,w,w
38,x,x
39,y,y
40,z,z
41,A,A
42,Ă,A_up
43,Â,A_hat
44,B,B
45,C,C
46,D,D
47,E,E
48,F,F
49,G,G
50,H,H
51,I,I
52,Î,I_hat
53,J,J
54,K,K
55,L,L
56,M,M
57,N,N
58,O,O
59,P,P
60,Q,Q
61,R,R
62,S,S
63,Ș,S_comma
64,T,T
65,Ț,T_comma
66,U,U
67,V,V
68,W,W
69,X,X
70,Y,Y
71,Z,Z
72,",",sym_comma
73,;,sym_semicolon
74,:,sym_colon
75,.,sym_stop
76,!,sym_exclamation
77,?,sym_question
78,"""",sym_quot
79,',sym_apostrophe
80,@,sym_at
81,#,syn_hashtag
82,$,sym_dollar
83,>,sym_gt
84,<,sym_lt
85,~,sym_tilde
86,%,sym_prc
87,*,sym_asterisk
88,(,sym_rbopen
89,),sym_rbclose
90,[,sym_sbopen
91,],sym_sbclose
92,{,sym_cbopen
93,},sym_cbclose
94,+,sym_plus
95,=,sym_eq
96,-,sym_hyphen
97,_,sym_underscore
